"","count","count_norm","parent","tax_rank","tax_color","avg","taxon","tax_name"
"ubiome_bacteriacounts.49",2,201,267888,"genus",NA,NA,53246,"Pseudoalteromonas"
"ubiome_bacteriacounts.50",2,201,165779,"species",NA,NA,54007,"Anaerococcus octavius"
"ubiome_bacteriacounts.51",2,201,2,"superphylum",NA,NA,68336,"Bacteroidetes/Chlorobi group"
"ubiome_bacteriacounts.52",8,803,1224,"subphylum",NA,NA,68525,"delta/epsilon subdivisions"
"ubiome_bacteriacounts.53",2213,222166,1236,"order",NA,NA,72274,"Pseudomonadales"
"ubiome_bacteriacounts.54",7,703,28216,"order",NA,NA,80840,"Burkholderiales"
"ubiome_bacteriacounts.55",7,703,80840,"family",NA,NA,80864,"Comamonadaceae"
"ubiome_bacteriacounts.56",4373,439012,1760,"subclass",NA,NA,85003,"Actinobacteridae"
"ubiome_bacteriacounts.57",2,201,2037,"suborder",NA,NA,85006,"Micrococcineae"
"ubiome_bacteriacounts.58",4371,438811,2037,"suborder",NA,NA,85007,"Corynebacterineae"
"ubiome_bacteriacounts.59",2,201,85006,"family",NA,NA,85020,"Dermabacteraceae"
"ubiome_bacteriacounts.60",35,3514,85007,"family",NA,NA,85029,"Dietziaceae"
"ubiome_bacteriacounts.61",407,40859,1385,"family",NA,NA,90964,"Staphylococcaceae"
"ubiome_bacteriacounts.62",1206,121072,1239,"class",NA,NA,91061,"Bacilli"
"ubiome_bacteriacounts.63",9961,1000000,1,"no_rank",NA,NA,131567,"cellular organisms"
"ubiome_bacteriacounts.64",14,1405,1236,"order",NA,NA,135618,"Methylococcales"
"ubiome_bacteriacounts.65",4,402,72274,"family",NA,NA,135621,"Pseudomonadaceae"
"ubiome_bacteriacounts.66",2,201,1236,"order",NA,NA,135622,"Alteromonadales"
"ubiome_bacteriacounts.67",25,2510,543310,"genus",NA,NA,150022,"Finegoldia"
"ubiome_bacteriacounts.68",4,402,10,"species",NA,NA,155077,"Cellvibrio japonicus"
"ubiome_bacteriacounts.69",19,1907,1716,"species",NA,NA,161879,"Corynebacterium kroppenstedtii"
"ubiome_bacteriacounts.70",167,16765,543310,"genus",NA,NA,162289,"Peptoniphilus"
"ubiome_bacteriacounts.71",149,14958,543310,"genus",NA,NA,165779,"Anaerococcus"
"ubiome_bacteriacounts.72",2,201,200643,"order",NA,NA,171549,"Bacteroidales"
"ubiome_bacteriacounts.73",463,46481,1239,"class",NA,NA,186801,"Clostridia"
"ubiome_bacteriacounts.74",461,46280,186801,"order",NA,NA,186802,"Clostridiales"
"ubiome_bacteriacounts.75",13,1305,186802,"family",NA,NA,186803,"Lachnospiraceae"
"ubiome_bacteriacounts.76",96,9638,1385,"family",NA,NA,186817,"Bacillaceae"
"ubiome_bacteriacounts.77",703,70575,91061,"order",NA,NA,186826,"Lactobacillales"
"ubiome_bacteriacounts.78",653,65556,186826,"family",NA,NA,186828,"Carnobacteriaceae"
"ubiome_bacteriacounts.79",2,201,976,"class",NA,NA,200643,"Bacteroidia"
"ubiome_bacteriacounts.80",4532,454974,2,"phylum","73C7D7",NA,201174,"Actinobacteria"
"ubiome_bacteriacounts.81",56,5622,28216,"order",NA,NA,206351,"Neisseriales"
"ubiome_bacteriacounts.82",8,803,28221,"order",NA,NA,213118,"Desulfobacterales"
"ubiome_bacteriacounts.83",7,703,541000,"genus",NA,NA,216851,"Faecalibacterium"
"ubiome_bacteriacounts.84",37,3714,51290,"phylum",NA,NA,256845,"Lentisphaerae"
"ubiome_bacteriacounts.85",2,201,135622,"family",NA,NA,267888,"Pseudoalteromonadaceae"
"ubiome_bacteriacounts.86",167,16765,162289,"species",NA,NA,411567,"Peptoniphilus gorbachii"
"ubiome_bacteriacounts.87",4,402,155077,"no_rank",NA,NA,498211,"Cellvibrio japonicus Ueda107"
"ubiome_bacteriacounts.88",345,34635,186802,"no_rank",NA,NA,538999,"Clostridiales incertae sedis"
"ubiome_bacteriacounts.89",7,703,186802,"family",NA,NA,541000,"Ruminococcaceae"
"ubiome_bacteriacounts.90",345,34635,538999,"family",NA,NA,543310,"Clostridiales Family XI. Incertae Sedis"
"ubiome_bacteriacounts.91",9,904,186803,"genus",NA,NA,572511,"Blautia"
"ubiome_bacteriacounts.92",10,1004,1032851,"no_rank",NA,NA,863239,"Corynebacterium nuruki S6-4"
"ubiome_bacteriacounts.93",89,8935,29394,"no_rank",NA,NA,883103,"Dolosigranulum pigrum ATCC 51524"
"ubiome_bacteriacounts.94",92,9236,165779,"species",NA,NA,938291,"Anaerococcus sp. 8405254"
"ubiome_bacteriacounts.95",5,502,46170,"no_rank",NA,NA,1006543,"Staphylococcus aureus subsp. aureus T0131"
"ubiome_bacteriacounts.96",10,1004,1716,"species",NA,NA,1032851,"Corynebacterium nuruki"
"ubiome_bacteriacounts.97",35,3514,49928,"species",NA,NA,1146296,"bacterium NLAE-zl-P430"
"ubiome_bacteriacounts.98",20,2008,480,"no_rank",NA,NA,1236608,"Moraxella catarrhalis BBH18"
"ubiome_bacteriacounts.99",1384,138942,49928,"species",NA,NA,1240104,"bacterium CCF-01"
