count,count_norm,tax_rank,tax_name,,parent
24,205,genus,Brevibacterium,,85019
657,5619,genus,Corynebacterium,,1653
2,17,species,Corynebacterium pseudotuberculosis,,1716
348,2976,genus,Eubacterium,,186806
8904,76155,class,Actinobacteria,,201174
911,7792,order,Actinomycetales,,85003
9,77,family,Actinomycetaceae,,85005
4340,37120,superkingdom,Archaea,,131567
4306,36829,order,Methanobacteriales,,183925
4306,36829,family,Methanobacteriaceae,,2158
4217,36068,genus,Methanobrevibacter,,2159
4121,35247,species,Methanobrevibacter smithii,,2172
2493,21322,no_rank,unclassified Bacteria,,2
2,17,genus,Epulopiscium,,186813
25,214,genus,Gardnerella,,31953
6,51,genus,Peptococcus,,186807
4,34,species,Peptococcus niger,,2740
32,274,genus,Synergistes,,649777
700,5987,no_rank,unclassified sequences,,1
3,26,species,unidentified marine bacterioplankton,,48479
5976,51112,species,Bifidobacterium animalis,,1678
1143,9776,genus,Lachnospira,,186803
2,17,family,Micromonosporaceae,,85008
12,103,species,Bacteroides ovatus,,816
32,274,species,Odoribacter splanchnicus,,283168
7,60,species,Prevotella buccalis,,838
2,17,species,Cronobacter sakazakii,,413496
147,1257,class,Alphaproteobacteria,,1224
635,5431,class,Betaproteobacteria,,1224
122,1043,class,Deltaproteobacteria,,68525
776,6637,phylum,Verrucomicrobia,,2157
603,5157,species,Clostridium chartatabidum,,1485
10,86,genus,Brachyspira,,143786
2,17,class,Epsilonproteobacteria,,68525
7855,67183,family,Bifidobacteriaceae,,85004
76,650,class,Mollicutes,,544448
376,3216,family,Veillonellaceae,,909929
8306,71041,family,Clostridiaceae,,186802
2,17,genus,Acetitomaculum,,186803
5,43,order,Nitrosomonadales,,28216
2,17,genus,Thiomonas,,224471
2,17,family,Xanthomonadaceae,,135614
9,77,no_rank,sulfur-oxidizing symbionts,,118884
3,26,class,Chloroflexi,,200795
3,26,order,Chloroflexales,,32061
29,248,no_rank,unidentified,,12908
46,393,genus,Phascolarctobacterium,,909930
29,248,species,Phascolarctobacterium faecium,,33024
2,17,species,Peptoniphilus indolicus,,162289
6326,54106,genus,Coprococcus,,186803
2,17,no_rank,unclassified Betaproteobacteria (miscellaneous),,119066
170,1454,family,Lactobacillaceae,,186826
74,633,genus,Bilophila,,194924
67,573,species,Bilophila wadsworthia,,35832
15,128,no_rank,Clostridium botulinum B,,1491
2,17,genus,Desulfitobacterium,,186807
5,43,species,Corynebacterium accolens,,1716
3,26,species,Corynebacterium genitalium,,1716
2,17,species,Corynebacterium jeikeium,,1716
5,43,species,Eubacterium desmolans,,1730
2,17,species,Eubacterium eligens,,1730
3,26,species,Dorea formicigenerans,,189330
20,171,species,Eubacterium hallii,,1730
287,2455,species,Eubacterium siraeum,,1730
9,77,species,Eubacterium xylanophilum,,1730
1355,11589,no_rank,unclassified Clostridiales (miscellaneous),,186813
373,3190,genus,Dialister,,31977
130,1112,phylum,Synergistetes,,2
3146,26908,species,Ruminococcus bromii,,1263
947,8100,species,[Ruminococcus] obeum,,572511
17,145,genus,Sutterella,,995019
3,26,genus,Succiniclasticum,,909930
53,453,genus,Brevundimonas,,76892
38,325,family,Rhodospirillaceae,,204441
2,17,family,Sphingomonadaceae,,204457
542,4636,species,Corynebacterium amycolatum,,1716
13,111,genus,Paenibacillus,,186822
57,488,genus,Caloramator,,31979
2109,18038,genus,Pseudobutyrivibrio,,186803
44,376,species,Ruminococcus lactaris,,1263
2,17,genus,Agrococcus,,85023
280,2395,species,Parabacteroides merdae,,375288
2,17,species,Clostridium chauvoei,,1485
7,60,species,Bacteroides caccae,,816
4,34,no_rank,environmental samples,,1239
772,6603,order,Verrucomicrobiales,,203494
28,239,no_rank,environmental samples,,2
55,470,family,Flavobacteriaceae,,200644
2481,21220,no_rank,unclassified Bacteria (miscellaneous),,2323
10,86,no_rank,environmental samples,,186802
796,6808,superphylum,Chlamydiae/Verrucomicrobia group,,2
3,26,genus,Anaerofilum,,541000
2,17,species,Brevibacterium mcbrellneri,,1696
3,26,order,Halanaerobiales,,186801
7,60,species,Corynebacterium mucifaciens,,1716
2,17,genus,Kocuria,,1268
76,650,phylum,Tenericutes,,131550
14,120,no_rank,unclassified Flavobacteriaceae,,49546
47,402,phylum,Acidobacteria,,131550
20,171,phylum,Lentisphaerae,,2
4,34,order,Thermoanaerobacterales,,186801
2,17,family,Syntrophomonadaceae,,186802
19214,164336,superphylum,Bacteroidetes/Chlorobi group,,2
2,17,class,Deferribacteres,,200930
128,1095,subphylum,delta/epsilon subdivisions,,1224
3,26,species,Clostridium indolis,,1485
5,43,order,Thiotrichales,,1236
8,68,order,Pseudomonadales,,1236
51,436,family,Ectothiorhodospiraceae,,135613
2,17,family,Helicobacteraceae,,213849
18,154,phylum,Fibrobacteres,,51290
70,599,family,Oxalobacteraceae,,80840
3,26,family,Rhodocyclaceae,,206389
61,522,family,Caulobacteraceae,,204458
3,26,species,Bifidobacterium saeculare,,1678
59,505,species,Bifidobacterium ruminantium,,1678
3,26,genus,Desulfosporosinus,,186807
3,26,species,Desulfosporosinus meridiei,,79206
4,34,genus,Denitrobacterium,,84107
2,17,suborder,Sorangiineae,,29
608,5200,order,Burkholderiales,,28216
50,428,family,Comamonadaceae,,80840
3,26,family,Enterococcaceae,,186826
5,43,species,Clostridium disporicum,,1485
2,17,species,Clostridium saccharolyticum,,1485
132,1129,family,Coriobacteriaceae,,255727
6,51,no_rank,unclassified Coriobacteriaceae,,84107
2,17,no_rank,environmental samples,,1730
2,17,family,Sphingobacteriaceae,,200666
2,17,genus,Pedobacter,,84566
4,34,subclass,Acidimicrobidae,,1760
134,1146,subclass,Coriobacteridae,,1760
134,1146,order,Coriobacteriales,,84998
8766,74975,subclass,Actinobacteridae,,1760
7855,67183,order,Bifidobacteriales,,85003
9,77,suborder,Actinomycineae,,2037
219,1873,suborder,Micrococcineae,,2037
659,5636,suborder,Corynebacterineae,,2037
2,17,suborder,Micromonosporineae,,2037
22,188,suborder,Frankineae,,2037
24,205,family,Brevibacteriaceae,,85006
46,393,family,Microbacteriaceae,,85006
2,17,genus,Marichromatium,,1046
2,17,no_rank,Aneurinibacillus group,,186822
7,60,genus,Alkalispirillum,,72276
2,17,genus,Desulfocella,,213119
11,94,family,Cytophagaceae,,768507
17,145,genus,Oligella,,506
17,145,species,Oligella urethralis,,90243
4,34,family,Staphylococcaceae,,1385
618,5286,class,Bacilli,,1239
2,17,order,Enterobacteriales,,1236
2,17,order,Methanosarcinales,,224756
147,1257,species,Arthrobacter albus,,1663
2,17,genus,Sporobacterium,,186803
2,17,genus,Papillibacter,,541000
19,163,genus,Collinsella,,84107
497,4251,species,butyrate-producing bacterium A1-86,,39779
4,34,species,Pseudoflavonifractor capillosus,,1017280
38,325,species,Coprococcus catus,,33042
68,582,class,Flavobacteriia,,976
4,34,class,Sphingobacteriia,,976
10,86,family,Brucellaceae,,356
15,128,no_rank,unclassified Gammaproteobacteria,,1236
2,17,family,Coxiellaceae,,118969
16,137,order,Legionellales,,1236
3,26,family,Burkholderiaceae,,80840
2,17,no_rank,unclassified Burkholderiales,,80840
2,17,no_rank,unclassified Betaproteobacteria,,28216
8,68,order,Hydrogenophilales,,28216
253,2164,family,Erysipelotrichaceae,,526525
65,556,superphylum,Fibrobacteres/Acidobacteria group,,2
121259,1037120,no_rank,cellular organisms,,1
39,334,species,Corynebacterium freneyi,,1716
16,137,no_rank,environmental samples,,872
16,137,species,Desulfovibrio sp. oral clone BB161,,134222
64,547,order,Chromatiales,,1236
14,120,order,Xanthomonadales,,1236
2,17,order,Cardiobacteriales,,1236
3,26,family,Piscirickettsiaceae,,72273
2,17,order,Methylococcales,,1236
4,34,order,Oceanospirillales,,1236
4,34,family,Pseudomonadaceae,,72274
7,60,order,Alteromonadales,,1236
10,86,phylum,Chloroflexi,,2
2,17,species,Desulfitobacterium metallireducens,,36853
2,17,family,Methanosaetaceae,,94695
10,86,family,Brachyspiraceae,,136
34,291,genus,Finegoldia,,543310
23,197,species,Turicibacter sanguinis,,191303
14,120,genus,Dysgonomonas,,171551
3,26,species,bacterium mpn-isolate group 25,,49928
6,51,genus,Peptoniphilus,,543310
5,43,genus,Anaerococcus,,543310
2,17,genus,Cyanobium,,1118
35,299,genus,Thalassospira,,41295
2,17,species,Ruminococcus sp. 14531,,1263
2,17,species,Anaerotruncus colihominis,,244127
18981,162343,order,Bacteroidales,,200643
602,5149,family,Rikenellaceae,,171549
2672,22853,family,Porphyromonadaceae,,171549
49,419,family,Prevotellaceae,,171549
4306,36829,class,Methanobacteria,,28890
9,77,genus,Varibaculum,,2049
9,77,species,Varibaculum cambriense,,184869
136,1163,no_rank,unclassified Bacteroidales (miscellaneous),,333046
82618,706626,class,Clostridia,,1239
82570,706215,order,Clostridiales,,186801
27774,237549,family,Lachnospiraceae,,186802
2882,24650,family,Peptostreptococcaceae,,186802
353,3019,family,Eubacteriaceae,,186802
51,436,family,Peptococcaceae,,186802
1363,11658,no_rank,unclassified Clostridiales,,186802
4,34,family,Thermoanaerobacteraceae,,68295
85,727,family,Bacillaceae,,1385
8,68,family,Planococcaceae,,1385
3,26,family,Listeriaceae,,1385
15,128,family,Paenibacillaceae,,1385
484,4140,order,Lactobacillales,,91061
2,17,family,Aerococcaceae,,186826
96,821,no_rank,unclassified Lachnospiraceae,,186803
5,43,no_rank,unclassified Ectothiorhodospiraceae,,72276
2,17,species,Acidaminococcus intestini,,904
870,7441,genus,Dorea,,186803
10,86,species,Clostridiales bacterium oral clone MCE3_9,,50559
7,60,order,Nitrospirales,,203693
3,26,family,Nitrospiraceae,,189778
4,34,no_rank,unclassified Clostridiaceae,,31979
3,26,species,Methanobrevibacter gottschalkii,,2172
103,881,genus,Turicibacter,,128827
2,17,order,Deferribacterales,,68337
2,17,family,Deferribacteraceae,,191393
3,26,class,Chlorobia,,1090
97,830,family,Desulfovibrionaceae,,213115
11,94,genus,Parascardovia,,31953
2536,21690,no_rank,unclassified Peptostreptococcaceae,,186804
19080,163190,class,Bacteroidia,,976
66,564,order,Flavobacteriales,,117743
4,34,order,Sphingobacteriales,,117747
7,60,family,Flammeovirgaceae,,768507
10,86,phylum,Spirochaetes,,2
8,68,phylum,Armatimonadetes,,2
8,68,phylum,Ignavibacteriae,,2
772,6603,class,Verrucomicrobiae,,74201
772,6603,family,Verrucomicrobiaceae,,48461
7,60,phylum,Nitrospirae,,2
10,86,class,Spirochaetia,,203691
7,60,class,Nitrospira,,40117
18,154,class,Fibrobacteria,,65842
25,214,class,Acidobacteriia,,57723
38,325,order,Rhodospirillales,,28211
2,17,order,Sphingomonadales,,28211
61,522,order,Caulobacterales,,28211
1663,14224,species,Bacteroides massiliensis,,816
5,43,no_rank,Bifidobacterium longum DJO10A,,216816
4,34,order,Neisseriales,,28216
3,26,order,Rhodocyclales,,28216
2444,20903,genus,Anaerostipes,,186803
3,26,genus,Allisonella,,31977
2,17,order,Desulfurellales,,28221
97,830,order,Desulfovibrionales,,28221
4,34,order,Desulfobacterales,,28221
2,17,family,Desulfobacteraceae,,213118
5,43,order,Syntrophobacterales,,28221
6,51,order,Bdellovibrionales,,28221
2,17,order,Campylobacterales,,29547
22,188,species,Subdoligranulum variabile,,292632
25,214,species,Alistipes finegoldii,,239759
17,145,family,Oscillospiraceae,,186802
1119,9571,species,Bifidobacterium longum,,1678
16600,141979,genus,Faecalibacterium,,541000
14,120,order,Fibrobacterales,,204430
2,17,no_rank,Burkholderiales Genera incertae sedis,,119065
34,291,class,Methanomicrobia,,28890
26,222,species,Clostridium sp. MDA2315,,1485
533,4559,genus,Alistipes,,171550
733,6269,genus,Akkermansia,,203557
60,513,genus,Anaerotruncus,,541000
7,60,order,butyrate-producing bacterium SSC/2,,39779
21,180,order,butyrate-producing bacterium SR1/1,,39779
9,77,family,Cryomorphaceae,,200644
56,479,genus,Marvinbryantia,,186803
2,17,genus,Caldanaerobacter,,186814
158,1351,order,butyrate-producing bacterium ART55/1,,39779
44,376,genus,Pseudoclavibacter,,85023
10,86,family,Victivallaceae,,278082
134,1146,suborder,Coriobacterineae,,84999
4,34,no_rank,Alteromonadales genera incertae sedis,,135622
51,436,no_rank,metagenome,,408169
6,51,phylum,Cyanobacteria,,51290
6,51,family,Bacteriovoracaceae,,213481
3,26,genus,Anaerofustis,,186806
2,17,genus,Oribacterium,,186803
10,86,no_rank,Victivallales,,1313211
3,26,genus,Thermincola,,186807
1295,11076,genus,Odoribacter,,171551
2,17,species,Clostridium clariflavum,,1485
4,34,species,Bacteroides helcogenes,,816
229,1959,species,Bacteroides salyersiae,,816
116,992,genus,Subdoligranulum,,541000
2,17,species,Flavonifractor plautii,,946234
3,26,class,Dehalococcoidia,,200795
8113,69390,species,Bacteroides plebeius,,816
3,26,species,Streptococcus sp. S16-08,,1301
4,34,genus,Gaetbulibacter,,49546
41,351,species,Clostridium sp. ID5,,1485
3,26,genus,Pontibacter,,89373
238,2036,species,Alistipes onderdonkii,,239759
15,128,species,Alistipes shahii,,239759
36,308,species,Bacteroides intestinalis,,816
2,17,class,Solibacteres,,57723
2,17,order,Solibacterales,,332159
2,17,family,Solibacteraceae,,332160
136,1163,no_rank,unclassified Bacteroidales,,171549
5,43,species,butyrate-producing bacterium PH05YA09,,49928
10,86,genus,Pseudochrobactrum,,118882
2,17,genus,Niastella,,563835
290,2480,species,Roseburia inulinivorans,,841
2,17,species,Streptococcus pseudoporcinus,,1301
6,51,no_rank,unclassified Porphyromonadaceae,,171551
20,171,no_rank,Bifidobacterium adolescentis ATCC 15703,,1680
593,5072,genus,Parabacteroides,,171551
10,86,species,Parabacteroides johnsonii,,375288
545,4661,genus,Barnesiella,,171551
261,2232,no_rank,metagenomes,,12908
159,1360,no_rank,human gut metagenome,,410656
323,2763,species,Coprococcus comes,,33042
205,1753,no_rank,organismal metagenomes,,408169
5,43,no_rank,ecological metagenomes,,408169
2,17,species,Peptoniphilus gorbachii,,162289
2,17,genus,Cronobacter,,543
4,34,class,Opitutae,,74201
4,34,order,Puniceicoccales,,414999
4,34,family,Puniceicoccaceae,,415001
2,17,genus,Dethiobacter,,68298
2,17,species,Dethiobacter alkaliphilus,,427925
2,17,no_rank,Eubacterium siraeum DSM 15702,,39492
2,17,no_rank,Bacteroides vulgatus ATCC 8482,,821
11,94,genus,Moryella,,186803
19,163,species,Adlercreutzia equolifaciens,,447020
19,163,genus,Adlercreutzia,,84107
2,17,order,Desulfarculales,,28221
32,274,species,Synergistes sp. 3_1_syn1,,2753
32,274,no_rank,unclassified Methanomicrobia,,224756
13,111,genus,Oscillibacter,,216572
8,68,species,Gordonibacter pamelaeae,,644652
12,103,order,Haloplasmatales,,2323
12,103,family,Haloplasmataceae,,471822
12,103,genus,Haloplasma,,471823
12,103,species,Haloplasma contractile,,471824
7,60,no_rank,Bacteroides intestinalis DSM 17393,,329854
507,4336,species,Barnesiella intestinihominis,,397864
438,3746,species,Parasutterella excrementihominis,,577310
2,17,no_rank,Methylogaea oryzae JCM 16910,,1295382
2,17,species,Porphyromonas bennonis,,836
3,26,phylum,Chlorobi,,2
5,43,family,Syntrophorhabdaceae,,213462
15,128,no_rank,Clostridium botulinum Ba4 str. 657,,36827
5,43,no_rank,Corynebacterium accolens ATCC 49725,,38284
258,2207,class,Erysipelotrichia,,1239
258,2207,order,Erysipelotrichales,,526524
5457,46673,species,Coprococcus sp. DJF_CR49,,33042
4,34,species,Clostridiaceae bacterium DJF_VR07,,189971
48,411,no_rank,Clostridiales incertae sedis,,186802
4,34,no_rank,Bacillales incertae sedis,,1385
4,34,no_rank,Bacillales Family XI. Incertae Sedis,,539002
35329,302166,family,Ruminococcaceae,,186802
48,411,family,Clostridiales Family XI. Incertae Sedis,,538999
2,17,phylum,Gemmatimonadetes,,2
78,667,species,Butyricimonas virosa,,574697
16,137,species,Clostridium sp. NML 04A032,,1485
41,351,species,Anaerotruncus sp. NML 070203,,244127
2,17,no_rank,Dethiobacter alkaliphilus AHT 1,,427926
4,34,family,Marinilabiliaceae,,171549
2,17,no_rank,Chitinophagaceae,,200666
2,17,family,Sinobacteraceae,,135614
5225,44689,genus,Blautia,,186803
10,86,no_rank,unclassified Victivallaceae,,255528
10,86,species,Victivallaceae bacterium NML 080035,,573637
163,1394,genus,Butyricimonas,,171551
10,86,species,Brevibacterium massiliense,,1696
449,3840,genus,Parasutterella,,995019
2,17,class,Zetaproteobacteria,,1224
2,17,order,Mariprofundales,,580370
2,17,family,Mariprofundaceae,,580371
4369,37368,species,Roseburia sp. 11SE38,,841
2,17,no_rank,Brevibacterium mcbrellneri ATCC 49030,,53363
2,17,no_rank,Acidaminococcus fermentans DSM 20731,,905
231,1976,species,Ruminococcus faecis,,1263
92,787,genus,Hydrogenoanaerobacterium,,541000
2,17,no_rank,Clostridium saccharolyticum WM1,,84030
670,5730,species,Clostridiales bacterium L2-14,,39779
2,17,species,Alistipes indistinctus,,239759
1070,9152,species,Odoribacter laneus,,283168
2,17,species,Clostridium sp. YIT 12069,,1485
6,51,species,iron-reducing bacterium enrichment culture clone FeC_1_A3,,48479
3,26,no_rank,Thermincola potens JR,,863643
85,727,genus,Pyramidobacter,,649777
4,34,no_rank,Ruminococcus flavefaciens FD-1,,1265
44,376,species,Pseudoclavibacter sp. Timone,,255204
8,68,genus,Gordonibacter,,84107
258,2207,species,Anaerostipes hadrus,,207244
130,1112,class,Synergistia,,508458
130,1112,order,Synergistales,,649775
126,1078,family,Synergistaceae,,649776
41,351,genus,Anaerosporobacter,,31979
67,573,species_group,Bacillus subtilis group,,1386
96,821,species,Lachnospiraceae bacterium 1_1_57FAA,,186928
9,77,species,Subdoligranulum sp. 4_3_54A2FAA,,292632
29,248,species,Clostridium sp. AUH-JLC235,,1485
4,34,species,Bacteroides rodentium,,816
4,34,no_rank,Bacteroides helcogenes P 36-108,,290053
24,205,genus,Cellulosilyticum,,186803
3,26,no_rank,Bifidobacterium bifidum PRL2010,,1681
34,291,species,Corynebacterium sp. NML00-0156,,1716
168,1437,species,Lactobacillus rogosae,,1578
2,17,no_rank,Clostridium clariflavum DSM 19732,,288965
10,86,no_rank,Barnesiella intestinihominis YIT 11860,,487174
2,17,no_rank,Clostridium symbiosum WAL-14163,,1512
118,1009,no_rank,Odoribacter laneus YIT 12061,,626933
4,34,no_rank,OMG group,,118884
4,34,no_rank,OM182 clade,,744995
2534,21673,species,Peptostreptococcaceae bacterium TM5,,1411023
2,17,species,Parvibacter caecicola,,1427376
21,180,class,Cytophagia,,976
21,180,order,Cytophagales,,768503
3,26,no_rank,Desulfosporosinus meridiei DSM 13257,,79209
8,68,class,Ignavibacteria,,1134404
2,17,order,Ignavibacteriales,,795747
2,17,family,Ignavibacteriaceae,,795748
3,26,species,Thermincola potens,,278993
86,736,species,Blautia stercoris,,572511
187,1599,species,Blautia faecis,,572511
2,17,no_rank,Desulfitobacterium metallireducens DSM 15288,,142877
2,17,no_rank,Streptococcus pseudoporcinus LQ 940-04,,361101
31,265,species,rumen bacterium NK4A214,,49928
478,4088,order,Selenomonadales,,909932
95,813,family,Acidaminococcaceae,,909929
478,4088,class,Negativicutes,,1239
2,17,species,Caldanaerobacter subterraneus,,249529
2,17,no_rank,Corynebacterium pseudotuberculosis CIP 52.97,,1719
5,43,species,Anaerococcus sp. 9402080,,165779
2,17,genus,Flavonifractor,,186813
4791,40977,family,Christensenellaceae,,186802
2,17,genus,Christensenella,,990719
466,3986,family,Sutterellaceae,,80840
12,103,no_rank,Bacteroides ovatus CL02T12C04,,28116
6,51,no_rank,Parabacteroides johnsonii CL02T12C29,,387661
4,34,genus,Pseudoflavonifractor,,186813
12,103,no_rank,Haloplasma contractile SSD-17B,,471825
2,17,no_rank,Bacillus amyloliquefaciens XH7,,1390
32,274,genus,Methanomassiliicoccus,,459247
32,274,species,Methanomassiliicoccus luminyensis,,1080709
4,34,family,Thioalkalispiraceae,,135613
2,17,order,Bacteroidetes Order II. Incertae sedis,,976
2,17,species,Ruminococcus sp. RLB3,,1263
62,530,no_rank,Enorma massiliensis phI,,1472761
136,1163,species,Bacteroidales bacterium ph8,,185291
2,17,phylum,Deferribacteres,,68336
12,103,species,bacterium NLAE-zl-P211,,49928
1739,14874,species,bacterium NLAE-zl-P430,,49928
52,445,species,bacterium NLAE-zl-P827,,49928
4,34,genus,Murdochiella,,186804
32,274,no_rank,Methanomassiliicoccus luminyensis B10,,1080712
2,17,no_rank,Brevibacterium massiliense 5401308,,576927
9,77,family,Defluviitaleaceae,,186802
9,77,no_rank,Defluviitalea,,1185407
6,51,no_rank,Streptococcus thermophilus MN-ZLW-002,,1308
2,17,species,bacterium NLAE-zl-H10,,49928
540,4619,species,bacterium NLAE-zl-H54,,49928
10,86,species,Brachyspira sp. NSH-25,,29521
51,436,species,Butyricimonas sp. 214-4,,574697
2,17,species,Clostridium sp. 619,,1485
6,51,species,Porphyromonadaceae bacterium AIP925.11,,361210
3,26,species,Collinsella sp. GD3,,102106
2,17,species,Coriobacteriaceae bacterium GD5,,84113
13,111,species,Streptococcus rubneri,,1301
2,17,genus,Methylogaea,,403
2,17,species,Methylogaea oryzae,,1295378
4,34,subclass,Oscillatoriophycideae,,1117
14,120,class,Lentisphaeria,,256845
4,34,family,Candidatus Midichloriaceae,,766
2534,21673,no_rank,unclassified Peptostreptococcaceae (miscellaneous),,200630
8,68,genus,Parvibacter,,84107
62,530,species,Enorma massiliensis,,1472762
62,530,genus,Enorma,,84107
