"","count","count_norm","parent","tax_rank","tax_color","avg","taxon","tax_name"
"ubiome_bacteriacounts.30",452,7815,186802,"no_rank",NA,NA,538999,"Clostridiales incertae sedis"
"ubiome_bacteriacounts.31",31006,536074,1716,"species",NA,NA,38287,"Corynebacterium fastidiosum"
"ubiome_bacteriacounts.32",2,35,1719,"no_rank",NA,NA,935697,"Corynebacterium pseudotuberculosis CIP 52.97"
"ubiome_bacteriacounts.33",2,35,1716,"species",NA,NA,1719,"Corynebacterium pseudotuberculosis"
"ubiome_bacteriacounts.34",228,3942,543310,"genus",NA,NA,165779,"Anaerococcus"
"ubiome_bacteriacounts.35",18,311,29394,"no_rank",NA,NA,883103,"Dolosigranulum pigrum ATCC 51524"
"ubiome_bacteriacounts.36",18,311,29393,"species",NA,NA,29394,"Dolosigranulum pigrum"
"ubiome_bacteriacounts.37",2071,35806,186828,"genus",NA,NA,29393,"Dolosigranulum"
"ubiome_bacteriacounts.38",2071,35806,186826,"family",NA,NA,186828,"Carnobacteriaceae"
"ubiome_bacteriacounts.39",2071,35806,91061,"order",NA,NA,186826,"Lactobacillales"
"ubiome_bacteriacounts.40",4230,73134,1239,"class",NA,NA,91061,"Bacilli"
"ubiome_bacteriacounts.41",131,2265,1716,"species",NA,NA,38304,"Corynebacterium tuberculostearicum"
"ubiome_bacteriacounts.42",4,69,85025,"genus",NA,NA,1817,"Nocardia"
"ubiome_bacteriacounts.43",4,69,85007,"family",NA,NA,85025,"Nocardiaceae"
"ubiome_bacteriacounts.44",2,35,46170,"no_rank",NA,NA,1006543,"Staphylococcus aureus subsp. aureus T0131"
"ubiome_bacteriacounts.45",45,778,1280,"subspecies",NA,NA,46170,"Staphylococcus aureus subsp. aureus"
"ubiome_bacteriacounts.46",45,778,1279,"species",NA,NA,1280,"Staphylococcus aureus"
"ubiome_bacteriacounts.47",2111,36498,90964,"genus",NA,NA,1279,"Staphylococcus"
"ubiome_bacteriacounts.48",2111,36498,1385,"family",NA,NA,90964,"Staphylococcaceae"
"ubiome_bacteriacounts.49",2159,37328,91061,"order",NA,NA,1385,"Bacillales"
"ubiome_bacteriacounts.50",3049,52715,49928,"species",NA,NA,1240104,"bacterium CCF-01"
"ubiome_bacteriacounts.51",3068,53044,2323,"no_rank",NA,NA,49928,"unclassified Bacteria (miscellaneous)"
"ubiome_bacteriacounts.52",3068,53044,2,"no_rank",NA,NA,2323,"unclassified Bacteria"
"ubiome_bacteriacounts.53",107,1850,1716,"species",NA,NA,35757,"Corynebacterium cystitidis"
"ubiome_bacteriacounts.54",191,3302,162289,"species",NA,NA,411567,"Peptoniphilus gorbachii"
"ubiome_bacteriacounts.55",191,3302,543310,"genus",NA,NA,162289,"Peptoniphilus"
"ubiome_bacteriacounts.56",4222,72996,475,"subgenus",NA,NA,46225,"Moraxella"
"ubiome_bacteriacounts.57",152,2628,165779,"species",NA,NA,938291,"Anaerococcus sp. 8405254"
"ubiome_bacteriacounts.58",12,207,186802,"family",NA,NA,186803,"Lachnospiraceae"
"ubiome_bacteriacounts.59",15,259,186802,"family",NA,NA,31979,"Clostridiaceae"
"ubiome_bacteriacounts.60",13,225,38284,"no_rank",NA,NA,525260,"Corynebacterium accolens ATCC 49725"
"ubiome_bacteriacounts.61",13,225,1716,"species",NA,NA,38284,"Corynebacterium accolens"
"ubiome_bacteriacounts.62",5,86,186803,"no_rank",NA,NA,186928,"unclassified Lachnospiraceae"
"ubiome_bacteriacounts.63",2,35,237,"species",NA,NA,395087,"Flavobacterium ceti"
"ubiome_bacteriacounts.64",2,35,49546,"genus",NA,NA,237,"Flavobacterium"
"ubiome_bacteriacounts.65",2,35,200644,"family",NA,NA,49546,"Flavobacteriaceae"
"ubiome_bacteriacounts.66",2,35,117743,"order",NA,NA,200644,"Flavobacteriales"
"ubiome_bacteriacounts.67",2,35,976,"class",NA,NA,117743,"Flavobacteriia"
"ubiome_bacteriacounts.68",2,35,68336,"phylum","e65848",NA,976,"Bacteroidetes"
"ubiome_bacteriacounts.69",2,35,2,"superphylum",NA,NA,68336,"Bacteroidetes/Chlorobi group"
"ubiome_bacteriacounts.70",3,52,376625,"no_rank",NA,NA,655184,"SUP05 cluster"
"ubiome_bacteriacounts.71",3,52,135619,"no_rank",NA,NA,376625,"unclassified Oceanospirillales"
"ubiome_bacteriacounts.72",3,52,1236,"order",NA,NA,135619,"Oceanospirillales"
"ubiome_bacteriacounts.73",3,52,1716,"species",NA,NA,57171,"Corynebacterium mucifaciens"
"ubiome_bacteriacounts.74",56,968,12333,"species",NA,NA,890041,"Streptococcus phage PhiSpn_200"
"ubiome_bacteriacounts.75",56,968,10239,"no_rank",NA,NA,12333,"unclassified phages"
"ubiome_bacteriacounts.76",56,968,1,"superkingdom",NA,NA,10239,"Viruses"
"ubiome_bacteriacounts.77",9,156,68525,"class",NA,NA,28221,"Deltaproteobacteria"
"ubiome_bacteriacounts.78",9,156,1224,"subphylum",NA,NA,68525,"delta/epsilon subdivisions"
"ubiome_bacteriacounts.79",4203,72667,46225,"species",NA,NA,478,"Moraxella nonliquefaciens"
"ubiome_bacteriacounts.80",2057,35564,1279,"species",NA,NA,1281,"Staphylococcus carnosus"
"ubiome_bacteriacounts.81",43,743,46170,"no_rank",NA,NA,1074919,"Staphylococcus aureus subsp. aureus ST228"
"ubiome_bacteriacounts.82",2,35,713,"species",NA,NA,51048,"Actinobacillus porcinus"
"ubiome_bacteriacounts.83",2,35,712,"genus",NA,NA,713,"Actinobacillus"
"ubiome_bacteriacounts.84",2,35,135625,"family",NA,NA,712,"Pasteurellaceae"
"ubiome_bacteriacounts.85",2,35,1236,"order",NA,NA,135625,"Pasteurellales"
"ubiome_bacteriacounts.86",8880,153530,482,"species",NA,NA,34026,"Neisseria flava"
"ubiome_bacteriacounts.87",8880,153530,481,"genus",NA,NA,482,"Neisseria"
"ubiome_bacteriacounts.88",8880,153530,206351,"family",NA,NA,481,"Neisseriaceae"
"ubiome_bacteriacounts.89",8880,153530,28216,"order",NA,NA,206351,"Neisseriales"
"ubiome_bacteriacounts.90",8880,153530,1224,"class",NA,NA,28216,"Betaproteobacteria"
"ubiome_bacteriacounts.91",2,35,539002,"no_rank",NA,NA,539738,"Bacillales Family XI. Incertae Sedis"
"ubiome_bacteriacounts.92",2,35,1385,"no_rank",NA,NA,539002,"Bacillales incertae sedis"
"ubiome_bacteriacounts.93",19,328,1,"no_rank",NA,NA,12908,"unclassified sequences"
"ubiome_bacteriacounts.94",2,35,41275,"species",NA,NA,930451,"Brevundimonas sp. CmLB14"
"ubiome_bacteriacounts.95",2,35,76892,"genus",NA,NA,41275,"Brevundimonas"
"ubiome_bacteriacounts.96",2,35,204458,"family",NA,NA,76892,"Caulobacteraceae"
"ubiome_bacteriacounts.97",2,35,28211,"order",NA,NA,204458,"Caulobacterales"
"ubiome_bacteriacounts.98",2,35,1224,"class",NA,NA,28211,"Alphaproteobacteria"
"ubiome_bacteriacounts.99",68,1176,165779,"species",NA,NA,54007,"Anaerococcus octavius"
"ubiome_bacteriacounts.100",83,1435,1762,"genus",NA,NA,1763,"Mycobacterium"
"ubiome_bacteriacounts.101",83,1435,85007,"family",NA,NA,1762,"Mycobacteriaceae"
"ubiome_bacteriacounts.102",46,795,186817,"genus",NA,NA,1386,"Bacillus"
"ubiome_bacteriacounts.103",46,795,1385,"family",NA,NA,186817,"Bacillaceae"
