tax_rank,count_norm,tax_name
family,43,Anaplasmataceae
species,368,Acidaminococcus fermentans
genus,368,Acidaminococcus
species,12,Desulfovibrio desulfuricans
genus,160,Desulfovibrio
genus,12,Syntrophomonas
species,718,Oxalobacter formigenes
genus,718,Oxalobacter
species,25,Butyrivibrio fibrisolvens
species,31,Anaplasma marginale
genus,31,Anaplasma
order,43,Rickettsiales
genus,12,Haemophilus
family,12,Pasteurellaceae
species,12,Yersinia enterocolitica
genus,12,Yersinia
genus,25,Escherichia
species,55,Pectobacterium carotovorum
species,18,Enterobacter cloacae
genus,18,Enterobacter
family,31,Neisseriaceae
family,12,Moraxellaceae
order,12,Rhizobiales
order,3959,Spirochaetales
**********************************************************************
File "ubiomeCompare.py", line 14, in __main__
Failed example:
    myApp.testUnique()
Expected:
    384
Got:
    176
**********************************************************************
File "ubiomeCompare.py", line 17, in __main__
Failed example:
    len(v.sampleList)
Expected:
    139
Got:
    219
**********************************************************************
1 items had failures:
   2 of   4 in __main__
***Test Failed*** 2 failures.
all tests successful
