"ï»¿""taxon""",parent,count,count_norm,avg,tax_name,tax_rank,tax_color
28216,1224,635,5431,null,Betaproteobacteria,class,null
91061,1239,618,5286,null,Bacilli,class,null
80840,28216,608,5200,null,Burkholderiales,order,null
29356,1485,603,5157,null,Clostridium chartatabidum,species,null
171550,171549,602,5149,null,Rikenellaceae,family,null
375288,171551,593,5072,null,Parabacteroides,genus,null
397864,171551,545,4661,null,Barnesiella,genus,null
43765,1716,542,4636,null,Corynebacterium amycolatum,species,null
1201878,49928,540,4619,null,bacterium NLAE-zl-H54,species,null
239759,171550,533,4559,null,Alistipes,genus,null
487174,397864,507,4336,null,Barnesiella intestinihominis,species,null
105829,39779,497,4251,null,butyrate-producing bacterium A1-86,species,null
186826,91061,484,4140,null,Lactobacillales,order,null
909932,1239,478,4088,null,Negativicutes,class,null
909929,909932,478,4088,null,Selenomonadales,order,null
995019,80840,466,3986,null,Sutterellaceae,family,null
577310,995019,449,3840,null,Parasutterella,genus,null
487175,577310,438,3746,null,Parasutterella excrementihominis,species,null
1266,31979,387,3310,null,Sarcina,genus,null
31977,909929,376,3216,null,Veillonellaceae,family,null
39948,31977,373,3190,null,Dialister,genus,null
186806,186802,353,3019,null,Eubacteriaceae,family,null
1730,186806,348,2976,null,Eubacterium,genus,null
410072,33042,323,2763,null,Coprococcus comes,species,null
1300,186826,309,2643,null,Streptococcaceae,family,null
1301,1300,307,2626,null,Streptococcus,genus,null
360807,841,290,2480,null,Roseburia inulinivorans,species,null
39492,1730,287,2455,null,Eubacterium siraeum,species,null
46503,375288,280,2395,null,Parabacteroides merdae,species,null
526525,526524,258,2207,null,Erysipelotrichales,order,null
649756,207244,258,2207,null,Anaerostipes hadrus,species,null
526524,1239,258,2207,null,Erysipelotrichia,class,null
823,375288,257,2198,null,Parabacteroides distasonis,species,null
128827,526525,253,2164,null,Erysipelotrichaceae,family,null
328813,239759,238,2036,null,Alistipes onderdonkii,species,null
1236,1224,234,2001,null,Gammaproteobacteria,class,null
592978,1263,231,1976,null,Ruminococcus faecis,species,null
291644,816,229,1959,null,Bacteroides salyersiae,species,null
85006,2037,219,1873,null,Micrococcineae,suborder,null
830,186803,199,1702,null,Butyrivibrio,genus,null
871665,572511,187,1599,null,Blautia faecis,species,null
33958,186826,170,1454,null,Lactobacillaceae,family,null
1578,33958,168,1437,null,Lactobacillus,genus,null
706562,1578,168,1437,null,Lactobacillus rogosae,species,null
574697,171551,163,1394,null,Butyricimonas,genus,null
252702,39779,158,1351,null,butyrate-producing bacterium ART55/1,order,null
1268,85006,149,1274,null,Micrococcaceae,family,null
1663,1268,147,1257,null,Arthrobacter,genus,null
28211,1224,147,1257,null,Alphaproteobacteria,class,null
98671,1663,147,1257,null,Arthrobacter albus,species,null
1118061,185291,136,1163,null,Bacteroidales bacterium ph8,species,null
333046,171549,136,1163,null,unclassified Bacteroidales,no_rank,null
185291,333046,136,1163,null,unclassified Bacteroidales (miscellaneous),no_rank,null
84999,84998,134,1146,null,Coriobacteriales,order,null
84998,1760,134,1146,null,Coriobacteridae,subclass,null
255727,84999,134,1146,null,Coriobacterineae,suborder,null
84107,255727,132,1129,null,Coriobacteriaceae,family,null
649776,649775,130,1112,null,Synergistales,order,null
649775,508458,130,1112,null,Synergistia,class,null
508458,2,130,1112,null,Synergistetes,phylum,null
68525,1224,128,1095,null,delta/epsilon subdivisions,subphylum,null
649777,649776,126,1078,null,Synergistaceae,family,null
1385,91061,125,1069,null,Bacillales,order,null
28221,68525,122,1043,null,Deltaproteobacteria,class,null
742817,626933,118,1009,null,Odoribacter laneus YIT 12061,no_rank,null
292632,541000,116,992,null,Subdoligranulum,genus,null
191303,128827,103,881,null,Turicibacter,genus,null
194924,213115,97,830,null,Desulfovibrionaceae,family,null
213115,28221,97,830,null,Desulfovibrionales,order,null
186928,186803,96,821,null,unclassified Lachnospiraceae,no_rank,null
658081,186928,96,821,null,Lachnospiraceae bacterium 1_1_57FAA,species,null
909930,909929,95,813,null,Acidaminococcaceae,family,null
596767,541000,92,787,null,Hydrogenoanaerobacterium,genus,null
871664,572511,86,736,null,Blautia stercoris,species,null
1386,186817,85,727,null,Bacillus,genus,null
186817,1385,85,727,null,Bacillaceae,family,null
638847,649777,85,727,null,Pyramidobacter,genus,null
1680,1678,78,667,null,Bifidobacterium adolescentis,species,null
544645,574697,78,667,null,Butyricimonas virosa,species,null
31969,544448,76,650,null,Mollicutes,class,null
544448,2,76,650,null,Tenericutes,phylum,null
35832,194924,74,633,null,Bilophila,genus,null
1308,1301,71,607,null,Streptococcus thermophilus,species,null
75682,80840,70,599,null,Oxalobacteraceae,family,null
117743,976,68,582,null,Flavobacteriia,class,null
35833,35832,67,573,null,Bilophila wadsworthia,species,null
653685,1386,67,573,null,Bacillus subtilis group,species_group,null
1390,653685,67,573,null,Bacillus amyloliquefaciens,species,null
200644,117743,66,564,null,Flavobacteriales,order,null
131550,2,65,556,null,Fibrobacteres/Acidobacteria group,superphylum,null
135613,1236,64,547,null,Chromatiales,order,null
963,75682,64,547,null,Herbaspirillum,genus,null
1472762,84107,62,530,null,Enorma,genus,null
1118060,1472761,62,530,null,Enorma massiliensis phI,no_rank,null
1472761,1472762,62,530,null,Enorma massiliensis,species,null
204458,28211,61,522,null,Caulobacterales,order,null
76892,204458,61,522,null,Caulobacteraceae,family,null
244127,541000,60,513,null,Anaerotruncus,genus,null
78346,1678,59,505,null,Bifidobacterium ruminantium,species,null
44258,31979,57,488,null,Caloramator,genus,null
248744,186803,56,479,null,Marvinbryantia,genus,null
49546,200644,55,470,null,Flavobacteriaceae,family,null
41275,76892,53,453,null,Brevundimonas,genus,null
1146723,49928,52,445,null,bacterium NLAE-zl-P827,species,null
186807,186802,51,436,null,Peptococcaceae,family,null
1217281,574697,51,436,null,Butyricimonas sp. 214-4,species,null
72276,135613,51,436,null,Ectothiorhodospiraceae,family,null
80864,80840,50,428,null,Comamonadaceae,family,null
171552,171549,49,419,null,Prevotellaceae,family,null
543310,538999,48,411,null,Clostridiales Family XI. Incertae Sedis,family,null
538999,186802,48,411,null,Clostridiales incertae sedis,no_rank,null
57723,131550,47,402,null,Acidobacteria,phylum,null
33024,909930,46,393,null,Phascolarctobacterium,genus,null
85023,85006,46,393,null,Microbacteriaceae,family,null
904,909930,44,376,null,Acidaminococcus,genus,null
255204,85023,44,376,null,Pseudoclavibacter,genus,null
641484,255204,44,376,null,Pseudoclavibacter sp. Timone,species,null
46228,1263,44,376,null,Ruminococcus lactaris,species,null
905,904,42,359,null,Acidaminococcus fermentans,species,null
320882,1485,41,351,null,Clostridium sp. ID5,species,null
545498,244127,41,351,null,Anaerotruncus sp. NML 070203,species,null
653683,31979,41,351,null,Anaerosporobacter,genus,null
134034,1716,39,334,null,Corynebacterium freneyi,species,null
838,171552,39,334,null,Prevotella,genus,null
204441,28211,38,325,null,Rhodospirillales,order,null
116085,33042,38,325,null,Coprococcus catus,species,null
41295,204441,38,325,null,Rhodospirillaceae,family,null
329854,816,36,308,null,Bacteroides intestinalis,species,null
168934,41295,35,299,null,Thalassospira,genus,null
150022,543310,34,291,null,Finegoldia,genus,null
702953,1716,34,291,null,Corynebacterium sp. NML00-0156,species,null
457415,2753,32,274,null,Synergistes sp. 3_1_syn1,species,null
2753,649777,32,274,null,Synergistes,genus,null
28118,283168,32,274,null,Odoribacter splanchnicus,species,null
1260,150022,32,274,null,Finegoldia magna,species,null
877428,49928,31,265,null,rumen bacterium NK4A214,species,null
691811,1485,29,248,null,Clostridium sp. AUH-JLC235,species,null
33025,33024,29,248,null,Phascolarctobacterium faecium,species,null
48479,2,28,239,null,environmental samples,no_rank,null
227526,1485,26,222,null,Clostridium sp. MDA2315,species,null
214856,239759,25,214,null,Alistipes finegoldii,species,null
204432,57723,25,214,null,Acidobacteriia,class,null
2701,31953,25,214,null,Gardnerella,genus,null
85019,85006,24,205,null,Brevibacteriaceae,family,null
1696,85019,24,205,null,Brevibacterium,genus,null
698776,186803,24,205,null,Cellulosilyticum,genus,null
154288,191303,23,197,null,Turicibacter sanguinis,species,null
214851,292632,22,188,null,Subdoligranulum variabile,species,null
85013,2037,22,188,null,Frankineae,suborder,null
245019,39779,21,180,null,butyrate-producing bacterium SR1/1,order,null
768507,768503,21,180,null,Cytophagales,order,null
768503,976,21,180,null,Cytophagia,class,null
39488,1730,20,171,null,Eubacterium hallii,species,null
256845,51290,20,171,null,Lentisphaerae,phylum,null
367928,1680,20,171,null,Bifidobacterium adolescentis ATCC 15703,no_rank,null
447020,84107,19,163,null,Adlercreutzia,genus,null
446660,447020,19,163,null,Adlercreutzia equolifaciens,species,null
102106,84107,19,163,null,Collinsella,genus,null
65842,131550,18,154,null,Fibrobacteres,phylum,null
204430,65842,18,154,null,Fibrobacteria,class,null
90245,90243,17,145,null,Oligella urethralis,species,null
90243,506,17,145,null,Oligella,genus,null
40544,995019,17,145,null,Sutterella,genus,null
506,80840,17,145,null,Alcaligenaceae,family,null
216572,186802,17,145,null,Oscillospiraceae,family,null
134223,134222,16,137,null,Desulfovibrio sp. oral clone BB161,species,null
134222,872,16,137,null,environmental samples,no_rank,null
118969,1236,16,137,null,Legionellales,order,null
872,194924,16,137,null,Desulfovibrio,genus,null
545497,1485,16,137,null,Clostridium sp. NML 04A032,species,null
186822,1385,15,128,null,Paenibacillaceae,family,null
118884,1236,15,128,null,unclassified Gammaproteobacteria,no_rank,null
515621,36827,15,128,null,Clostridium botulinum Ba4 str. 657,no_rank,null
328814,239759,15,128,null,Alistipes shahii,species,null
36827,1491,15,128,null,Clostridium botulinum B,no_rank,null
1491,1485,15,128,null,Clostridium botulinum,species,null
1313211,256845,14,120,null,Lentisphaeria,class,null
156973,171551,14,120,null,Dysgonomonas,genus,null
135614,1236,14,120,null,Xanthomonadales,order,null
61432,49546,14,120,null,unclassified Flavobacteriaceae,no_rank,null
218872,204430,14,120,null,Fibrobacterales,order,null
44249,186822,13,111,null,Paenibacillus,genus,null
1234680,1301,13,111,null,Streptococcus rubneri,species,null
459786,216572,13,111,null,Oscillibacter,genus,null
28116,816,12,103,null,Bacteroides ovatus,species,null
471825,471824,12,103,null,Haloplasma contractile,species,null
471823,471822,12,103,null,Haloplasmataceae,family,null
1033810,471825,12,103,null,Haloplasma contractile SSD-17B,no_rank,null
471824,471823,12,103,null,Haloplasma,genus,null
997885,28116,12,103,null,Bacteroides ovatus CL02T12C04,no_rank,null
471822,2323,12,103,null,Haloplasmatales,order,null
1146058,49928,12,103,null,bacterium NLAE-zl-P211,species,null
196082,31953,11,94,null,Parascardovia,genus,null
89373,768507,11,94,null,Cytophagaceae,family,null
437755,186803,11,94,null,Moryella,genus,null
143786,136,10,86,null,Brachyspiraceae,family,null
29521,143786,10,86,null,Brachyspira,genus,null
1203227,29521,10,86,null,Brachyspira sp. NSH-25,species,null
136,203692,10,86,null,Spirochaetales,order,null
118882,356,10,86,null,Brucellaceae,family,null
203691,2,10,86,null,Spirochaetes,phylum,null
203692,203691,10,86,null,Spirochaetia,class,null
356,28211,10,86,null,Rhizobiales,order,null
742726,487174,10,86,null,Barnesiella intestinihominis YIT 11860,no_rank,null
576927,1696,10,86,null,Brevibacterium massiliense,species,null
354349,118882,10,86,null,Pseudochrobactrum,genus,null
50559,186802,10,86,null,environmental samples,no_rank,null
573638,573637,10,86,null,Victivallaceae bacterium NML 080035,species,null
278082,1313211,10,86,null,Victivallales,no_rank,null
255528,278082,10,86,null,Victivallaceae,family,null
573637,255528,10,86,null,unclassified Victivallaceae,no_rank,null
200795,2,10,86,null,Chloroflexi,phylum,null
387661,375288,10,86,null,Parabacteroides johnsonii,species,null
189710,50559,10,86,null,Clostridiales bacterium oral clone MCE3_9,species,null
39497,1730,9,77,null,Eubacterium xylanophilum,species,null
1185408,1185407,9,77,null,Defluviitalea,no_rank,null
32036,118884,9,77,null,sulfur-oxidizing symbionts,no_rank,null
2049,85005,9,77,null,Actinomycetaceae,family,null
85005,2037,9,77,null,Actinomycineae,suborder,null
1185407,186802,9,77,null,Defluviitaleaceae,family,null
1046,135613,9,77,null,Chromatiaceae,family,null
184870,184869,9,77,null,Varibaculum cambriense,species,null
665956,292632,9,77,null,Subdoligranulum sp. 4_3_54A2FAA,species,null
246874,200644,9,77,null,Cryomorphaceae,family,null
184869,2049,9,77,null,Varibaculum,genus,null
119069,28216,8,68,null,Hydrogenophilales,order,null
644652,84107,8,68,null,Gordonibacter,genus,null
1134404,68336,8,68,null,Ignavibacteriae,phylum,null
795747,1134404,8,68,null,Ignavibacteria,class,null
1427376,84107,8,68,null,Parvibacter,genus,null
186818,1385,8,68,null,Planococcaceae,family,null
72274,1236,8,68,null,Pseudomonadales,order,null
67819,2,8,68,null,Armatimonadetes,phylum,null
471189,644652,8,68,null,Gordonibacter pamelaeae,species,null
47678,816,7,60,null,Bacteroides caccae,species,null
40117,2,7,60,null,Nitrospirae,phylum,null
203693,40117,7,60,null,Nitrospira,class,null
471870,329854,7,60,null,Bacteroides intestinalis DSM 17393,no_rank,null
28127,838,7,60,null,Prevotella buccalis,species,null
245018,39779,7,60,null,butyrate-producing bacterium SSC/2,order,null
85924,72276,7,60,null,Alkalispirillum,genus,null
200667,768507,7,60,null,Flammeovirgaceae,family,null
57171,1716,7,60,null,Corynebacterium mucifaciens,species,null
189778,203693,7,60,null,Nitrospirales,order,null
135622,1236,7,60,null,Alteromonadales,order,null
2740,186807,6,51,null,Peptococcus,genus,null
1117,2,6,51,null,Cyanobacteria,phylum,null
361210,171551,6,51,null,unclassified Porphyromonadaceae,no_rank,null
1187956,1308,6,51,null,Streptococcus thermophilus MN-ZLW-002,no_rank,null
1229957,361210,6,51,null,Porphyromonadaceae bacterium AIP925.11,species,null
213481,28221,6,51,null,Bdellovibrionales,order,null
84113,84107,6,51,null,unclassified Coriobacteriaceae,no_rank,null
631628,48479,6,51,null,iron-reducing bacterium enrichment culture clone FeC_1_A3,species,null
263369,213481,6,51,null,Bacteriovoracaceae,family,null
162289,543310,6,51,null,Peptoniphilus,genus,null
999419,387661,6,51,null,Parabacteroides johnsonii CL02T12C29,no_rank,null
513556,213462,5,43,null,Syntrophorhabdaceae,family,null
213462,28221,5,43,null,Syntrophobacterales,order,null
205913,216816,5,43,null,Bifidobacterium longum DJO10A,no_rank,null
340474,49928,5,43,null,butyrate-producing bacterium PH05YA09,species,null
187271,72276,5,43,null,unclassified Ectothiorhodospiraceae,no_rank,null
938293,165779,5,43,null,Anaerococcus sp. 9402080,species,null
165779,543310,5,43,null,Anaerococcus,genus,null
38284,1716,5,43,null,Corynebacterium accolens,species,null
525260,38284,5,43,null,Corynebacterium accolens ATCC 49725,no_rank,null
84024,1485,5,43,null,Clostridium disporicum,species,null
32003,28216,5,43,null,Nitrosomonadales,order,null
39484,1730,5,43,null,Eubacterium desmolans,species,null
72273,1236,5,43,null,Thiotrichales,order,null
84992,1760,4,34,null,Acidimicrobidae,subclass,null
117747,976,4,34,null,Sphingobacteriia,class,null
311207,49546,4,34,null,Gaetbulibacter,genus,null
1017280,186813,4,34,null,Pseudoflavonifractor,genus,null
135621,72274,4,34,null,Pseudomonadaceae,family,null
186814,68295,4,34,null,Thermoanaerobacteraceae,family,null
213118,28221,4,34,null,Desulfobacterales,order,null
135619,1236,4,34,null,Oceanospirillales,order,null
90964,1385,4,34,null,Staphylococcaceae,family,null
256005,135622,4,34,null,Alteromonadales genera incertae sedis,no_rank,null
68295,186801,4,34,null,Thermoanaerobacterales,order,null
415001,414999,4,34,null,Puniceicoccales,order,null
415002,415001,4,34,null,Puniceicoccaceae,family,null
414999,74201,4,34,null,Opitutae,class,null
744995,118884,4,34,null,OMG group,no_rank,null
539002,1385,4,34,null,Bacillales incertae sedis,no_rank,null
200666,117747,4,34,null,Sphingobacteriales,order,null
537373,189971,4,34,null,Clostridiaceae bacterium DJF_VR07,species,null
189971,31979,4,34,null,unclassified Clostridiaceae,no_rank,null
691816,816,4,34,null,Bacteroides rodentium,species,null
539738,539002,4,34,null,Bacillales Family XI. Incertae Sedis,no_rank,null
206351,28216,4,34,null,Neisseriales,order,null
79603,84107,4,34,null,Denitrobacterium,genus,null
1096778,135613,4,34,null,Thioalkalispiraceae,family,null
1118,1301283,4,34,null,Chroococcales,order,null
1301283,1117,4,34,null,Oscillatoriophycideae,subclass,null
558415,171549,4,34,null,Marinilabiliaceae,family,null
2741,2740,4,34,null,Peptococcus niger,species,null
1328881,766,4,34,null,Candidatus Midichloriaceae,family,null
290053,816,4,34,null,Bacteroides helcogenes,species,null
1161127,186804,4,34,null,Murdochiella,genus,null
641112,1265,4,34,null,Ruminococcus flavefaciens FD-1,no_rank,null
1265,1263,4,34,null,Ruminococcus flavefaciens,species,null
47928,1239,4,34,null,environmental samples,no_rank,null
745002,744995,4,34,null,OM182 clade,no_rank,null
693979,290053,4,34,null,Bacteroides helcogenes P 36-108,no_rank,null
766,28211,4,34,null,Rickettsiales,order,null
106588,1017280,4,34,null,Pseudoflavonifractor capillosus,species,null
1681,1678,3,26,null,Bifidobacterium bifidum,species,null
1232426,102106,3,26,null,Collinsella sp. GD3,species,null
323449,89373,3,26,null,Pontibacter,genus,null
52784,541000,3,26,null,Anaerofilum,genus,null
1106,32064,3,26,null,Chloroflexaceae,family,null
32061,200795,3,26,null,Chloroflexi,class,null
310942,1301,3,26,null,Streptococcus sp. S16-08,species,null
38288,1716,3,26,null,Corynebacterium genitalium,species,null
1685,1678,3,26,null,Bifidobacterium breve,species,null
206389,28216,3,26,null,Rhodocyclales,order,null
75787,206389,3,26,null,Rhodocyclaceae,family,null
1637,186820,3,26,null,Listeria,genus,null
119060,80840,3,26,null,Burkholderiaceae,family,null
186820,1385,3,26,null,Listeriaceae,family,null
40840,909930,3,26,null,Succiniclasticum,genus,null
81852,186826,3,26,null,Enterococcaceae,family,null
702459,1681,3,26,null,Bifidobacterium bifidum PRL2010,no_rank,null
32064,32061,3,26,null,Chloroflexales,order,null
13136,48479,3,26,null,unidentified marine bacterioplankton,species,null
1090,68336,3,26,null,Chlorobi,phylum,null
768704,79209,3,26,null,Desulfosporosinus meridiei DSM 13257,no_rank,null
264995,186806,3,26,null,Anaerofustis,genus,null
972,53433,3,26,null,Halanaerobiaceae,family,null
863643,278993,3,26,null,Thermincola potens,species,null
53433,186801,3,26,null,Halanaerobiales,order,null
209879,31977,3,26,null,Allisonella,genus,null
278993,186807,3,26,null,Thermincola,genus,null
39486,189330,3,26,null,Dorea formicigenerans,species,null
69825,1485,3,26,null,Clostridium indolis,species,null
78257,1678,3,26,null,Bifidobacterium saeculare,species,null
301297,200795,3,26,null,Dehalococcoidia,class,null
191410,1090,3,26,null,Chlorobia,class,null
189779,189778,3,26,null,Nitrospiraceae,family,null
157956,49928,3,26,null,bacterium mpn-isolate group 25,species,null
79209,79206,3,26,null,Desulfosporosinus meridiei,species,null
79206,186807,3,26,null,Desulfosporosinus,genus,null
635013,863643,3,26,null,Thermincola potens JR,no_rank,null
135616,72273,3,26,null,Piscirickettsiaceae,family,null
204457,28211,2,17,null,Sphingomonadales,order,null
84372,1730,2,17,null,environmental samples,no_rank,null
213119,213118,2,17,null,Desulfobacteraceae,family,null
213113,28221,2,17,null,Desulfurellales,order,null
53363,1696,2,17,null,Brevibacterium mcbrellneri,species,null
89342,213119,2,17,null,Desulfocella,genus,null
1279,90964,2,17,null,Staphylococcus,genus,null
1100069,976,2,17,null,Bacteroidetes Order II. Incertae sedis,order,null
33030,162289,2,17,null,Peptoniphilus indolicus,species,null
39485,1730,2,17,null,Eubacterium eligens,species,null
85151,186822,2,17,null,Aneurinibacillus group,no_rank,null
836,171551,2,17,null,Porphyromonas,genus,null
453227,28221,2,17,null,Desulfarculales,order,null
935697,1719,2,17,null,Corynebacterium pseudotuberculosis CIP 52.97,no_rank,null
1719,1716,2,17,null,Corynebacterium pseudotuberculosis,species,null
501496,836,2,17,null,Porphyromonas bennonis,species,null
46867,1485,2,17,null,Clostridium chauvoei,species,null
585530,53363,2,17,null,Brevibacterium mcbrellneri ATCC 49030,no_rank,null
493385,1295382,2,17,null,Methylogaea oryzae JCM 16910,no_rank,null
1295382,1295378,2,17,null,Methylogaea oryzae,species,null
68298,186802,2,17,null,Syntrophomonadaceae,family,null
191394,191393,2,17,null,Deferribacteraceae,family,null
191393,68337,2,17,null,Deferribacterales,order,null
68337,200930,2,17,null,Deferribacteres,class,null
200930,2,2,17,null,Deferribacteres,phylum,null
427925,68298,2,17,null,Dethiobacter,genus,null
292800,946234,2,17,null,Flavonifractor plautii,species,null
946234,186813,2,17,null,Flavonifractor,genus,null
427926,427925,2,17,null,Dethiobacter alkaliphilus,species,null
555088,427926,2,17,null,Dethiobacter alkaliphilus AHT 1,no_rank,null
332159,57723,2,17,null,Solibacteres,class,null
332160,332159,2,17,null,Solibacterales,order,null
332161,332160,2,17,null,Solibacteraceae,family,null
563835,200666,2,17,null,Chitinophagaceae,no_rank,null
428128,39492,2,17,null,Eubacterium siraeum DSM 15702,no_rank,null
135618,1236,2,17,null,Methylococcales,order,null
46352,85023,2,17,null,Agrococcus,genus,null
1295378,403,2,17,null,Methylogaea,genus,null
403,135618,2,17,null,Methylococcaceae,family,null
411567,162289,2,17,null,Peptoniphilus gorbachii,species,null
100175,541000,2,17,null,Papillibacter,genus,null
610130,84030,2,17,null,Clostridium saccharolyticum WM1,no_rank,null
84030,1485,2,17,null,Clostridium saccharolyticum,species,null
626932,239759,2,17,null,Alistipes indistinctus,species,null
186827,186826,2,17,null,Aerococcaceae,family,null
444,118969,2,17,null,Legionellaceae,family,null
445,444,2,17,null,Legionella,genus,null
2383,186813,2,17,null,Epulopiscium,genus,null
119065,80840,2,17,null,unclassified Burkholderiales,no_rank,null
224471,119065,2,17,null,Burkholderiales Genera incertae sedis,no_rank,null
32012,224471,2,17,null,Thiomonas,genus,null
354354,563835,2,17,null,Niastella,genus,null
1512,1485,2,17,null,Clostridium symbiosum,species,null
85076,1046,2,17,null,Marichromatium,genus,null
990721,990719,2,17,null,Christensenella,genus,null
142182,2,2,17,null,Gemmatimonadetes,phylum,null
169434,1263,2,17,null,Ruminococcus sp. 14531,species,null
169435,244127,2,17,null,Anaerotruncus colihominis,species,null
29,28221,2,17,null,Myxococcales,order,null
28141,413496,2,17,null,Cronobacter sakazakii,species,null
413496,543,2,17,null,Cronobacter,genus,null
543,91347,2,17,null,Enterobacteriaceae,family,null
91347,1236,2,17,null,Enterobacteriales,order,null
80812,29,2,17,null,Sorangiineae,suborder,null
29547,68525,2,17,null,Epsilonproteobacteria,class,null
626944,1485,2,17,null,Clostridium sp. YIT 12069,species,null
32033,135614,2,17,null,Xanthomonadaceae,family,null
85008,2037,2,17,null,Micromonosporineae,suborder,null
1101723,1263,2,17,null,Ruminococcus sp. RLB3,species,null
742740,1512,2,17,null,Clostridium symbiosum WAL-14163,no_rank,null
468,72274,2,17,null,Moraxellaceae,family,null
1232436,84113,2,17,null,Coriobacteriaceae bacterium GD5,species,null
580370,1224,2,17,null,Zetaproteobacteria,class,null
580371,580370,2,17,null,Mariprofundales,order,null
580372,580371,2,17,null,Mariprofundaceae,family,null
1201401,49928,2,17,null,bacterium NLAE-zl-H10,species,null
435590,821,2,17,null,Bacteroides vulgatus ATCC 8482,no_rank,null
821,816,2,17,null,Bacteroides vulgatus,species,null
31980,186803,2,17,null,Acetitomaculum,genus,null
38289,1716,2,17,null,Corynebacterium jeikeium,species,null
118968,118969,2,17,null,Coxiellaceae,family,null
213849,29547,2,17,null,Campylobacterales,order,null
72293,213849,2,17,null,Helicobacteraceae,family,null
795748,795747,2,17,null,Ignavibacteriales,order,null
33809,119066,2,17,null,unclassified Betaproteobacteria (miscellaneous),no_rank,null
119066,28216,2,17,null,unclassified Betaproteobacteria,no_rank,null
795749,795748,2,17,null,Ignavibacteriaceae,family,null
1217283,1485,2,17,null,Clostridium sp. 619,species,null
747645,1427376,2,17,null,Parvibacter caecicola,species,null
135615,1236,2,17,null,Cardiobacteriales,order,null
