taxon,parent,count,count_norm,avg,tax_name,tax_rank,tax_color
871664,572511,150,6611,null,Blautia stercoris,species,null
995019,80840,150,6611,null,Sutterellaceae,family,null
487175,577310,148,6522,null,Parasutterella excrementihominis,species,null
171550,171549,146,6434,null,Rikenellaceae,family,null
239759,171550,142,6258,null,Alistipes,genus,null
592978,1263,140,6170,null,Ruminococcus faecis,species,null
1201878,49928,120,5288,null,bacterium NLAE-zl-H54,species,null
574697,171551,120,5288,null,Butyricimonas,genus,null
28025,1678,107,4716,null,Bifidobacterium animalis,species,null
105829,39779,104,4583,null,butyrate-producing bacterium A1-86,species,null
186928,186803,96,4231,null,unclassified Lachnospiraceae,no_rank,null
658081,186928,96,4231,null,Lachnospiraceae bacterium 1_1_57FAA,species,null
328813,239759,91,4010,null,Alistipes onderdonkii,species,null
360807,841,89,3922,null,Roseburia inulinivorans,species,null
410072,33042,79,3482,null,Coprococcus comes,species,null
291644,816,67,2953,null,Bacteroides salyersiae,species,null
397864,171551,60,2644,null,Barnesiella,genus,null
91061,1239,60,2644,null,Bacilli,class,null
487174,397864,57,2512,null,Barnesiella intestinihominis,species,null
105837,39779,56,2468,null,butyrate-producing bacterium T2-132,species,null
216816,1678,48,2115,null,Bifidobacterium longum,species,null
871665,572511,37,1631,null,Blautia faecis,species,null
186826,91061,35,1542,null,Lactobacillales,order,null
310297,816,34,1498,null,Bacteroides plebeius,species,null
583272,841,32,1410,null,Roseburia sp. 11SE38,species,null
28050,186803,31,1366,null,Lachnospira,genus,null
909932,1239,28,1234,null,Negativicutes,class,null
909929,909932,28,1234,null,Selenomonadales,order,null
613,543,27,1190,null,Serratia,genus,null
33024,909930,26,1146,null,Phascolarctobacterium,genus,null
909930,909929,26,1146,null,Acidaminococcaceae,family,null
1385,91061,25,1102,null,Bacillales,order,null
46503,375288,25,1102,null,Parabacteroides merdae,species,null
823,375288,24,1058,null,Parabacteroides distasonis,species,null
68525,1224,24,1058,null,delta/epsilon subdivisions,subphylum,null
33025,33024,24,1058,null,Phascolarctobacterium faecium,species,null
547,543,22,970,null,Enterobacter,genus,null
28221,68525,21,925,null,Deltaproteobacteria,class,null
33958,186826,19,837,null,Lactobacillaceae,family,null
1578,33958,19,837,null,Lactobacillus,genus,null
332100,186824,17,749,null,Planifilum,genus,null
186824,1385,17,749,null,Thermoactinomycetaceae,family,null
545498,244127,17,749,null,Anaerotruncus sp. NML 070203,species,null
244127,541000,17,749,null,Anaerotruncus,genus,null
31969,544448,16,705,null,Mollicutes,class,null
550,354276,16,705,null,Enterobacter cloacae,species,null
354276,547,16,705,null,Enterobacter cloacae complex,species_group,null
1146723,49928,16,705,null,bacterium NLAE-zl-P827,species,null
544448,2,16,705,null,Tenericutes,phylum,null
544645,574697,15,661,null,Butyricimonas virosa,species,null
84107,255727,14,617,null,Coriobacteriaceae,family,null
255727,84999,14,617,null,Coriobacterineae,suborder,null
28117,239759,14,617,null,Alistipes putredinis,species,null
84999,84998,14,617,null,Coriobacteriales,order,null
84998,1760,14,617,null,Coriobacteridae,subclass,null
28118,283168,14,617,null,Odoribacter splanchnicus,species,null
963,75682,12,529,null,Herbaspirillum,genus,null
75682,80840,12,529,null,Oxalobacteraceae,family,null
213115,28221,12,529,null,Desulfovibrionales,order,null
1350,81852,12,529,null,Enterococcus,genus,null
194924,213115,12,529,null,Desulfovibrionaceae,family,null
81852,186826,12,529,null,Enterococcaceae,family,null
526525,526524,11,485,null,Erysipelotrichales,order,null
128827,526525,11,485,null,Erysipelotrichaceae,family,null
72273,1236,11,485,null,Thiotrichales,order,null
204455,28211,11,485,null,Rhodobacterales,order,null
526524,1239,11,485,null,Erysipelotrichia,class,null
186804,186802,11,485,null,Peptostreptococcaceae,family,null
742817,626933,10,441,null,Odoribacter laneus YIT 12061,no_rank,null
561,543,10,441,null,Escherichia,genus,null
706562,1578,10,441,null,Lactobacillus rogosae,species,null
544,543,9,397,null,Citrobacter,genus,null
817,816,9,397,null,Bacteroides fragilis,species,null
562,561,8,353,null,Escherichia coli,species,null
72274,1236,8,353,null,Pseudomonadales,order,null
590,543,7,308,null,Salmonella,genus,null
204458,28211,7,308,null,Caulobacterales,order,null
1117,2,7,308,null,Cyanobacteria,phylum,null
53346,1350,7,308,null,Enterococcus mundtii,species,null
41275,76892,7,308,null,Brevundimonas,genus,null
58095,59201,7,308,null,Salmonella enterica subsp. enterica serovar Agona,no_rank,null
76892,204458,7,308,null,Caulobacteraceae,family,null
1118061,185291,7,308,null,Bacteroidales bacterium ph8,species,null
46228,1263,7,308,null,Ruminococcus lactaris,species,null
1579,1578,7,308,null,Lactobacillus acidophilus,species,null
59201,28901,7,308,null,Salmonella enterica subsp. enterica,subspecies,null
28901,590,7,308,null,Salmonella enterica,species,null
35832,194924,7,308,null,Bilophila,genus,null
333046,171549,7,308,null,unclassified Bacteroidales,no_rank,null
185291,333046,7,308,null,unclassified Bacteroidales (miscellaneous),no_rank,null
35833,35832,7,308,null,Bilophila wadsworthia,species,null
246791,816,6,264,null,Bacteroides sp. 35BE35,species,null
118968,118969,6,264,null,Coxiellaceae,family,null
118969,1236,6,264,null,Legionellales,order,null
53335,543,6,264,null,Pantoea,genus,null
1266,31979,6,264,null,Sarcina,genus,null
135621,72274,6,264,null,Pseudomonadaceae,family,null
186806,186802,6,264,null,Eubacteriaceae,family,null
186818,1385,6,264,null,Planococcaceae,family,null
74426,102106,6,264,null,Collinsella aerofaciens,species,null
102106,84107,6,264,null,Collinsella,genus,null
1730,186806,6,264,null,Eubacterium,genus,null
214856,239759,6,264,null,Alistipes finegoldii,species,null
615,613,6,264,null,Serratia marcescens,species,null
214851,292632,6,264,null,Subdoligranulum variabile,species,null
665956,292632,5,220,null,Subdoligranulum sp. 4_3_54A2FAA,species,null
872,194924,5,220,null,Desulfovibrio,genus,null
134222,872,5,220,null,environmental samples,no_rank,null
838,171552,5,220,null,Prevotella,genus,null
186807,186802,5,220,null,Peptococcaceae,family,null
51290,2,5,220,null,Chlamydiae/Verrucomicrobia group,superphylum,null
171552,171549,5,220,null,Prevotellaceae,family,null
135616,72273,5,220,null,Piscirickettsiaceae,family,null
134223,134222,5,220,null,Desulfovibrio sp. oral clone BB161,species,null
387661,375288,5,220,null,Parabacteroides johnsonii,species,null
2740,186807,5,220,null,Peptococcus,genus,null
933,135616,5,220,null,Thiomicrospira,genus,null
67819,2,5,220,null,Armatimonadetes,phylum,null
292800,946234,4,176,null,Flavonifractor plautii,species,null
131550,2,4,176,null,Fibrobacteres/Acidobacteria group,superphylum,null
1308,1301,4,176,null,Streptococcus thermophilus,species,null
57723,131550,4,176,null,Acidobacteria,phylum,null
1217281,574697,4,176,null,Butyricimonas sp. 214-4,species,null
117747,976,4,176,null,Sphingobacteriia,class,null
623,620,4,176,null,Shigella flexneri,species,null
620,543,4,176,null,Shigella,genus,null
204432,57723,4,176,null,Acidobacteriia,class,null
1134404,68336,4,176,null,Ignavibacteriae,phylum,null
795747,1134404,4,176,null,Ignavibacteria,class,null
1300,186826,4,176,null,Streptococcaceae,family,null
213118,28221,4,176,null,Desulfobacterales,order,null
59814,53335,4,176,null,Pantoea dispersa,species,null
946234,186813,4,176,null,Flavonifractor,genus,null
2383,186813,4,176,null,Epulopiscium,genus,null
1301,1300,4,176,null,Streptococcus,genus,null
691816,816,3,132,null,Bacteroides rodentium,species,null
74201,51290,3,132,null,Verrucomicrobia,phylum,fdc536
698776,186803,3,132,null,Cellulosilyticum,genus,null
742740,1512,3,132,null,Clostridium symbiosum WAL-14163,no_rank,null
1512,1485,3,132,null,Clostridium symbiosum,species,null
1217,1212,3,132,null,Prochlorococcaceae,family,null
1217051,547,3,132,null,Enterobacter sp. A7,species,null
1212,1117,3,132,null,Prochlorales,order,null
203494,74201,3,132,null,Verrucomicrobiae,class,null
213849,29547,3,132,null,Campylobacterales,order,null
29547,68525,3,132,null,Epsilonproteobacteria,class,null
135619,1236,3,132,null,Oceanospirillales,order,null
84563,191675,3,132,null,"ant, tsetse, mealybug, aphid, etc. endosymbionts",no_rank,null
191675,543,3,132,null,unclassified Enterobacteriaceae,no_rank,null
72294,213849,3,132,null,Campylobacteraceae,family,null
48461,203494,3,132,null,Verrucomicrobiales,order,null
337339,84563,3,132,null,lice endosymbionts,no_rank,null
649756,207244,3,132,null,Anaerostipes hadrus,species,null
328814,239759,3,132,null,Alistipes shahii,species,null
203557,48461,3,132,null,Verrucomicrobiaceae,family,null
1561,1485,3,132,null,Clostridium baratii,species,null
1411023,200630,2,88,null,unclassified Peptostreptococcaceae (miscellaneous),no_rank,null
84642,135624,2,88,null,Aeromonadaceae,family,null
135624,1236,2,88,null,Aeromonadales,order,null
286,135621,2,88,null,Pseudomonas,genus,null
135622,1236,2,88,null,Alteromonadales,order,null
340474,49928,2,88,null,butyrate-producing bacterium PH05YA09,species,null
39948,31977,2,88,null,Dialister,genus,null
39485,1730,2,88,null,Eubacterium eligens,species,null
200795,2,2,88,null,Chloroflexi,phylum,null
200630,186804,2,88,null,unclassified Peptostreptococcaceae,no_rank,null
136,203692,2,88,null,Spirochaetales,order,null
136845,286,2,88,null,Pseudomonas putida group,species_group,null
1185407,186802,2,88,null,Defluviitaleaceae,family,null
747603,1411023,2,88,null,Peptostreptococcaceae bacterium TM5,species,null
1185408,1185407,2,88,null,Defluviitalea,no_rank,null
246618,1678,2,88,null,Bifidobacterium thermacidophilum,species,null
203691,2,2,88,null,Spirochaetes,phylum,null
119060,80840,2,88,null,Burkholderiaceae,family,null
213462,28221,2,88,null,Syntrophobacterales,order,null
269297,816,2,88,null,Bacteroides sp. Smarlab 3302398,species,null
642,84642,2,88,null,Aeromonas,genus,null
31977,909929,2,88,null,Veillonellaceae,family,null
69657,204455,2,88,null,Hyphomonadaceae,family,null
135617,72273,2,88,null,Thiotrichaceae,family,null
256845,51290,2,88,null,Lentisphaerae,phylum,null
1313211,256845,2,88,null,Lentisphaeria,class,null
620860,39779,2,88,null,Clostridiales bacterium L2-14,species,null
278082,1313211,2,88,null,Victivallales,no_rank,null
255528,278082,2,88,null,Victivallaceae,family,null
573637,255528,2,88,null,unclassified Victivallaceae,no_rank,null
573638,573637,2,88,null,Victivallaceae bacterium NML 080035,species,null
1030,135617,2,88,null,Thiothrix,genus,null
1203227,29521,2,88,null,Brachyspira sp. NSH-25,species,null
213119,213118,2,88,null,Desulfobacteraceae,family,null
2037,85003,2,88,null,Actinomycetales,order,null
85013,2037,2,88,null,Frankineae,suborder,null
203692,203691,2,88,null,Spirochaetia,class,null
143786,136,2,88,null,Brachyspiraceae,family,null
84992,1760,2,88,null,Acidimicrobidae,subclass,null
29521,143786,2,88,null,Brachyspira,genus,null
135613,1236,2,88,null,Chromatiales,order,null
468,72274,2,88,null,Moraxellaceae,family,null
32003,28216,2,88,null,Nitrosomonadales,order,null
206379,32003,2,88,null,Nitrosomonadaceae,family,null
160453,1350,2,88,null,Enterococcus gilvus,species,null
638847,649777,2,88,null,Pyramidobacter,genus,null
649777,649776,2,88,null,Synergistaceae,family,null
649776,649775,2,88,null,Synergistales,order,null
649775,508458,2,88,null,Synergistia,class,null
508458,2,2,88,null,Synergistetes,phylum,null
84406,186817,2,88,null,Virgibacillus,genus,null
47678,816,2,88,null,Bacteroides caccae,species,null
653683,31979,2,88,null,Anaerosporobacter,genus,null
914,206379,2,88,null,Nitrosomonas,genus,null
32066,2,2,88,null,Fusobacteria,phylum,null
49546,200644,2,88,null,Flavobacteriaceae,family,null
200644,117743,2,88,null,Flavobacteriales,order,null
117743,976,2,88,null,Flavobacteriia,class,null
252702,39779,2,88,null,butyrate-producing bacterium ART55/1,order,null
84108,84107,2,88,null,Slackia,genus,null
647703,84108,2,88,null,Slackia sp. NATTS,species,null
186817,1385,2,88,null,Bacillaceae,family,null
